StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
NSW,124,Hughes,41826,MARSH,Nathaniel David,5,N,N,FFP,Family First,2038,110,6,56,184,2394,2.43
NSW,124,Hughes,41467,WARE,Jenny,6,N,Y,LP,Liberal,30762,905,28,746,3396,35837,-3.96
NSW,124,Hughes,40871,MILLER,David A W,7,N,N,CEC,Citizens Party,481,37,1,17,51,587,0.6
NSW,124,Hughes,41962,SWINBOURN,Deborah,8,N,N,ON,Pauline Hanson's One Nation,4316,206,11,162,568,5263,1.9
NSW,124,Hughes,999,Informal,Informal,999,N,N,NA,Informal,8025,484,5,233,377,9124,3.32
NSW,125,Hume,41471,TAYLOR,Angus,1,N,Y,LP,Liberal,36163,1139,40,1019,5260,43621,1.32
NSW,125,Hume,41955,SEIDEL,Bryan,2,N,N,FFP,Family First,2253,131,3,77,251,2715,2.73
NSW,125,Hume,41868,REES,Adrian,3,N,N,LTP,Libertarian,1443,71,3,43,170,1730,1.74
NSW,125,Hume,41584,BRUCE,Steve,4,N,N,GRN,The Greens,7041,403,11,273,723,8451,2.85
NSW,125,Hume,41966,DUCKER,Helen,5,N,N,ON,Pauline Hanson's One Nation,6379,282,5,219,1090,7975,0.08
NSW,125,Hume,41670,WOZNIAK,Troy,6,N,N,CYA,Trumpet of Patriots,2906,115,3,91,364,3479,3.5
NSW,125,Hume,41405,HUANG,Thomas,7,N,N,ALP,Labor,22800,784,23,743,2718,27068,3.06
NSW,125,Hume,41183,McLEAN,Peter,8,N,N,IND,Independent,3738,116,5,101,479,4439,4.46
NSW,125,Hume,999,Informal,Informal,999,N,N,NA,Informal,8474,416,9,240,576,9715,1.62
NSW,126,Hunter,41965,BONDS,Stuart,1,N,N,ON,Pauline Hanson's One Nation,15713,505,13,481,1300,18012,6.03
NSW,126,Hunter,41944,GILROY,Sue,2,N,N,NP,The Nationals,17504,290,10,443,2061,20308,-6.5
NSW,126,Hunter,41948,FENWICK,Andrew David,3,N,N,HMP,Legalise Cannabis Party,4798,354,9,195,310,5666,5.07
NSW,126,Hunter,40876,DAVIES,Victoria,4,N,N,AJP,Animal Justice Party,1277,77,3,61,209,1627,-0.61
NSW,126,Hunter,41796,FARRELLY,Paul,5,N,N,FFP,Family First,2158,126,8,95,255,2642,2.37
NSW,126,Hunter,41646,BODDAN,Kyle,6,N,N,ASP,"Shooters, Fishers and Farmers Party",2038,116,1,100,254,2509,2.25
NSW,126,Hunter,41778,WRIGHTSON,Suellen,7,N,N,CYA,Trumpet of Patriots,3427,125,4,133,385,4074,3.65
NSW,126,Hunter,41407,REPACHOLI,Dan,8,N,Y,ALP,Labor,42100,1009,41,1015,4415,48580,4.06
NSW,126,Hunter,41634,STOKES,Louise,9,N,N,GRN,The Greens,6941,395,8,257,692,8293,-1.4
NSW,126,Hunter,999,Informal,Informal,999,N,N,NA,Informal,8776,337,10,208,411,9742,0.65
NSW,127,Kingsford Smith,42027,JELIC,Mark,1,N,N,ON,Pauline Hanson's One Nation,4760,261,12,283,553,5869,2.44
NSW,127,Kingsford Smith,41386,THISTLETHWAITE,Matt,2,N,Y,ALP,Labor,42581,1305,44,1658,4762,50350,3.44
NSW,127,Kingsford Smith,41477,COLE,Brad,3,N,N,LP,Liberal,21265,746,34,946,2946,25937,-3.45
NSW,127,Kingsford Smith,41978,PARKER,Elsa,4,N,N,IND,Independent,2862,185,3,152,363,3565,3.6
NSW,127,Kingsford Smith,41587,BROWN,Keiron,5,N,N,GRN,The Greens,11161,630,17,600,1029,13437,-2.21
NSW,127,Kingsford Smith,999,Informal,Informal,999,N,N,NA,Informal,5417,210,5,146,333,6111,1.04
NSW,128,Lindsay,41480,McINTOSH,Melissa,1,N,Y,LP,Liberal,32715,968,40,846,4371,38940,-6.68
NSW,128,Lindsay,41952,EMMANUEL,Antony Victor,2,N,N,FFP,Family First,1996,111,3,85,216,2411,2.46
NSW,128,Lindsay,41650,HALLEY,Carl,3,N,N,ASP,"Shooters, Fishers and Farmers Party",1468,99,3,52,219,1841,1.88
NSW,128,Lindsay,41971,SALEAM,Jim,4,N,N,IND,Independent,956,38,2,37,79,1112,1.13
NSW,128,Lindsay,40863,BLAZI,Vanessa,5,N,N,AJP,Animal Justice Party,1542,75,1,47,241,1906,1.95
NSW,128,Lindsay,41961,BUCKLEY,Christopher,6,N,N,ON,Pauline Hanson's One Nation,5515,274,13,166,755,6723,0.86
NSW,128,Lindsay,41988,PALMER,Michelle,7,N,N,IMO,HEART Party,1083,41,3,22,91,1240,-0.69
NSW,128,Lindsay,41594,McALLISTER,Aaron David,8,N,N,GRN,The Greens,7991,421,7,245,728,9392,1.63
NSW,128,Lindsay,41383,McLEAN,Hollie,9,N,N,ALP,Labor,26695,867,31,680,3152,31425,0.16
NSW,128,Lindsay,41772,O'CONNOR,Joseph,10,N,N,CYA,Trumpet of Patriots,2470,119,3,76,328,2996,3.06
NSW,128,Lindsay,999,Informal,Informal,999,N,N,NA,Informal,10568,513,16,253,597,11947,3.78
NSW,130,Lyne,41601,FERRIER,Tom,1,N,N,GRN,The Greens,5699,421,10,317,525,6972,-1.48
NSW,130,Lyne,41408,WILSON,Digby,2,N,N,ALP,Labor,18235,659,20,699,2055,21668,-1.66
NSW,130,Lyne,41704,CHARSLEY,Cathy,3,N,N,CYA,Trumpet of Patriots,2257,107,1,101,217,2683,2.45
NSW,130,Lyne,41878,HUGHES,Colin,4,N,N,ON,Pauline Hanson's One Nation,7611,339,5,336,908,9199,0.48
